0,1,2,3,4,5,6,7,8,9,10
fanpop.com,adsbygoogle,,,,,,,,,
mysmartprice.com,,,,/ads.,,,,,,
patheos.com,,,g.doubleclick.net,,amazon-adsystem.com,,,,"""pubmatic",
html5doctor.com,,,,,,,,,,buysellads.
bentley.edu,,googleadservices,g.doubleclick.net,,,,,,,
bakeca.it,,,g.doubleclick.net,,,"'criteo
""criteo
.criteo",,,,
truckstop.com,,googleadservices,g.doubleclick.net,,,,,,,
campuslive24.com,adsbygoogle,,,,,,,,,
bernama.com,adsbygoogle,,,,,,,,,
bestwatch.ru,,,,,,.criteo,,,,
4book.org,adsbygoogle,,,,,,,,,
libramemoria.com,,,g.doubleclick.net,,amazon-adsystem.com,,,,,
aleks.com,,googleadservices,g.doubleclick.net,,,,,,,
moglix.com,,,,,,.criteo,,,,
sletat.ru,,googleadservices,g.doubleclick.net,,,,,,,
spieletipps.de,,googleadservices,g.doubleclick.net,,amazon-adsystem.com,.criteo,taboola.com,|outbrain,,
bettercloud.com,,,g.doubleclick.net,,,,,,,
bookmeter.com,,,,,amazon-adsystem.com,,,,,
hktvmall.com,,googleadservices,,,,,,,,
csdn.net,adsbygoogle,,,,,,,,,
bankbazaar.com,,,g.doubleclick.net,,,,,,,
lovemeow.com,,,,/ads.,,,,,,
arkitera.com,adsbygoogle,,g.doubleclick.net,,,,taboola.com,,,
ipithos.to,,,g.doubleclick.net,,,,,,,
aviutl.info,,,g.doubleclick.net,,,,,,,
justlanded.com,,,g.doubleclick.net,,,,,,,
mediacomtoday.com,,,,,,,taboola.com,,,
ndnation.com,adsbygoogle,,,,,,,,,
indiatimes.com,,,g.doubleclick.net,,,,,,,
gt3themes.com,adsbygoogle,,,,,,,,,
yablyk.com,adsbygoogle,,,,,,,,,
detik.com,,googleadservices,g.doubleclick.net,,,,,,,
uwaterloo.ca,,googleadservices,g.doubleclick.net,,,,,,,
kasvyksta.lt,,,g.doubleclick.net,,,,,,,
ynetnews.com,,,g.doubleclick.net,/ads.,,,taboola.com,,,
uva.es,,,g.doubleclick.net,,,,,,,
ninjamarketing.it,,,g.doubleclick.net,,,,,,,
tigernet.com,,,,/ads.,,,,,,
coins.su,adsbygoogle,,,,,,,,,
ac-creteil.fr,,,,,,"""criteo",,,,
mail.com,,googleadservices,g.doubleclick.net,,,.criteo,,,,
tlsbooks.com,adsbygoogle,,,,,,,,,
twittercommunity.com,,,,/ads.,,,,,,
actitudfem.com,,,,,amazon-adsystem.com,,,,,
voicethread.com,,,g.doubleclick.net,,,,,,,
yariga.net,adsbygoogle,,,,,,,,,
sanook.com,,,,,,.criteo,taboola.com,,/pubmatic,
online-domain-tools.com,adsbygoogle,,,,,,,,,
sandiego.gov,,googleadservices,g.doubleclick.net,,,,,,,
aqicn.org,adsbygoogle,,,,amazon-adsystem.com,,,,,
ozzyman.com,adsbygoogle,,,,,,,,,
tipplap.hu,,,g.doubleclick.net,,,,,,,
udmercy.edu,,,,,amazon-adsystem.com,,,,,
entrepreneurshipsecret.com,adsbygoogle,,,,amazon-adsystem.com,,,,,
